Entry	Entry Name	Protein names	Organism	Length	Gene Ontology (molecular function)	Function [CC]	Gene Names
D3W0D1	KLRF2_HUMAN	Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65)	Homo sapiens (Human)	207	carbohydrate binding [GO:0030246]; protein homodimerization activity [GO:0042803]	FUNCTION: C-type lectin-like receptor involved in natural killer cell mediated cytotoxicity and cytokine secretion in keratinocytes via its interaction with CLEC2A (PubMed:20194751, PubMed:25510854). Triggers degranulation in a SYK-dependent manner and stimulates SYK phosphotyrosinylation without recruiting SYK directly (PubMed:28082678). {ECO:0000269|PubMed:20194751, ECO:0000269|PubMed:28082678}.	KLRF2
D6RGH6	MCIN_HUMAN	Multicilin (Multiciliate differentiation and DNA synthesis-associated cell cycle protein) (McIdas protein) (Protein Idas)	Homo sapiens (Human)	385	identical protein binding [GO:0042802]	FUNCTION: Transcription regulator specifically required for multiciliate cell differentiation (PubMed:25048963). Acts in a multiprotein complex containing E2F4 and E2F5 that binds and activates genes required for centriole biogenesis. Required for the deuterosome-mediated acentriolar pathway (PubMed:25048963). Plays a role in mitotic cell cycle progression by promoting cell cycle exit. Modulates GMNN activity by reducing its affinity for CDT1 (PubMed:21543332, PubMed:24064211). {ECO:0000250|UniProtKB:Q08B36, ECO:0000269|PubMed:21543332, ECO:0000269|PubMed:24064211, ECO:0000269|PubMed:25048963}.	MCIDAS IDAS MCI MCIN
H3BV60	TGR3L_HUMAN	Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor-beta receptor type III-like protein) (TGF-beta receptor type III-like protein)	Homo sapiens (Human)	292	glycosaminoglycan binding [GO:0005539]; transforming growth factor beta receptor activity [GO:0005024]; type II transforming growth factor beta receptor binding [GO:0005114]	FUNCTION: Expressed in gonadotrope cells, acts as an inhibin B coreceptor and regulates follicle-stimulating hormone (FSH) levels and female fertility. {ECO:0000269|PubMed:34910520}.	TGFBR3L
O00115	DNS2A_HUMAN	Deoxyribonuclease-2-alpha (EC 3.1.22.1) (Acid DNase) (Deoxyribonuclease II alpha) (DNase II alpha) (Lysosomal DNase II) (R31240_2)	Homo sapiens (Human)	360	deoxyribonuclease II activity [GO:0004531]; DNA binding [GO:0003677]	FUNCTION: Hydrolyzes DNA under acidic conditions with a preference for double-stranded DNA. Plays a major role in the clearance of nucleic acids generated through apoptosis, hence preventing autoinflammation (PubMed:29259162, PubMed:31775019). Necessary for proper fetal development and for definitive erythropoiesis in fetal liver and bone marrow, where it degrades nuclear DNA expelled from erythroid precursor cells (PubMed:29259162). {ECO:0000269|PubMed:29259162, ECO:0000269|PubMed:31775019}.	DNASE2 DNASE2A DNL2
O00124	UBXN8_HUMAN	UBX domain-containing protein 8 (Reproduction 8 protein) (Rep-8 protein) (UBX domain-containing protein 6)	Homo sapiens (Human)	270	protein-macromolecule adaptor activity [GO:0030674]; ubiquitin binding [GO:0043130]	FUNCTION: Involved in endoplasmic reticulum-associated degradation (ERAD) for misfolded lumenal proteins, possibly by tethering VCP to the endoplasmic reticulum membrane. May play a role in reproduction. {ECO:0000269|PubMed:21949850}.	UBXN8 D8S2298E REP8 UBXD6
O00142	KITM_HUMAN	Thymidine kinase 2, mitochondrial (EC 2.7.1.21) (2'-deoxyuridine kinase TK2) (EC 2.7.1.74) (Deoxycytidine kinase TK2) (EC 2.7.1.-) (Mt-TK)	Homo sapiens (Human)	265	ATP binding [GO:0005524]; deoxycytidine kinase activity [GO:0004137]; deoxynucleoside kinase activity [GO:0019136]; nucleoside kinase activity [GO:0019206]; thymidine kinase activity [GO:0004797]	FUNCTION: Phosphorylates thymidine, deoxycytidine, and deoxyuridine in the mitochondrial matrix (PubMed:11687801, PubMed:9989599). In non-replicating cells, where cytosolic dNTP synthesis is down-regulated, mtDNA synthesis depends solely on TK2 and DGUOK (PubMed:9989599). Widely used as target of antiviral and chemotherapeutic agents (PubMed:9989599). {ECO:0000269|PubMed:11687801, ECO:0000269|PubMed:9989599}.	TK2
O00151	PDLI1_HUMAN	PDZ and LIM domain protein 1 (C-terminal LIM domain protein 1) (Elfin) (LIM domain protein CLP-36)	Homo sapiens (Human)	329	actin binding [GO:0003779]; cadherin binding involved in cell-cell adhesion [GO:0098641]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]; transcription coactivator activity [GO:0003713]	FUNCTION: Cytoskeletal protein that may act as an adapter that brings other proteins (like kinases) to the cytoskeleton (PubMed:10861853). Involved in assembly, disassembly and directioning of stress fibers in fibroblasts. Required for the localization of ACTN1 and PALLD to stress fibers. Required for cell migration and in maintaining cell polarity of fibroblasts (By similarity). {ECO:0000250|UniProtKB:P52944, ECO:0000269|PubMed:10861853}.	PDLIM1 CLIM1 CLP36
O00154	BACH_HUMAN	Cytosolic acyl coenzyme A thioester hydrolase (EC 3.1.2.2) (Acyl-CoA thioesterase 7) (Brain acyl-CoA hydrolase) (BACH) (hBACH) (CTE-IIa) (CTE-II) (Long chain acyl-CoA thioester hydrolase)	Homo sapiens (Human)	380	carboxylic ester hydrolase activity [GO:0052689]; fatty-acyl-CoA binding [GO:0000062]; long-chain fatty acyl-CoA binding [GO:0036042]; long-chain fatty acyl-CoA hydrolase activity [GO:0052816]; protein homodimerization activity [GO:0042803]	FUNCTION: Catalyzes the hydrolysis of acyl-CoAs into free fatty acids and coenzyme A (CoASH), regulating their respective intracellular levels (PubMed:10578051). Preferentially hydrolyzes palmitoyl-CoA, but has a broad specificity acting on other fatty acyl-CoAs with chain-lengths of C8-C18 (PubMed:10578051). May play an important physiological function in brain (PubMed:10578051). {ECO:0000269|PubMed:10578051}.	ACOT7 BACH
O00155	GPR25_HUMAN	Probable G-protein coupled receptor 25	Homo sapiens (Human)	361	G protein-coupled receptor activity [GO:0004930]	FUNCTION: Orphan receptor.	GPR25
O00161	SNP23_HUMAN	Synaptosomal-associated protein 23 (SNAP-23) (Vesicle-membrane fusion protein SNAP-23)	Homo sapiens (Human)	211	SNAP receptor activity [GO:0005484]; syntaxin binding [GO:0019905]; syntaxin-1 binding [GO:0017075]	FUNCTION: Essential component of the high affinity receptor for the general membrane fusion machinery and an important regulator of transport vesicle docking and fusion.	SNAP23
O00165	HAX1_HUMAN	HCLS1-associated protein X-1 (HS1-associating protein X-1) (HAX-1) (HS1-binding protein 1) (HSP1BP-1)	Homo sapiens (Human)	279	interleukin-1 binding [GO:0019966]; signaling adaptor activity [GO:0035591]	FUNCTION: Recruits the Arp2/3 complex to the cell cortex and regulates reorganization of the cortical actin cytoskeleton via its interaction with KCNC3 and the Arp2/3 complex (PubMed:26997484). Slows down the rate of inactivation of KCNC3 channels (PubMed:26997484). Promotes GNA13-mediated cell migration. Involved in the clathrin-mediated endocytosis pathway. May be involved in internalization of ABC transporters such as ABCB11. May inhibit CASP9 and CASP3. Promotes cell survival. May regulate intracellular calcium pools. {ECO:0000269|PubMed:15339924, ECO:0000269|PubMed:16857965, ECO:0000269|PubMed:17545607, ECO:0000269|PubMed:18319618, ECO:0000269|PubMed:18971376, ECO:0000269|PubMed:26997484, ECO:0000269|PubMed:9058808}.	HAX1 HS1BP1
O00170	AIP_HUMAN	AH receptor-interacting protein (AIP) (Aryl-hydrocarbon receptor-interacting protein) (HBV X-associated protein 2) (XAP-2) (Immunophilin homolog ARA9)	Homo sapiens (Human)	330	aryl hydrocarbon receptor binding [GO:0017162]; GAF domain binding [GO:0036004]; peptidyl-prolyl cis-trans isomerase activity [GO:0003755]; transcription coactivator activity [GO:0003713]; unfolded protein binding [GO:0051082]	FUNCTION: May play a positive role in AHR-mediated (aromatic hydrocarbon receptor) signaling, possibly by influencing its receptivity for ligand and/or its nuclear targeting.; FUNCTION: Cellular negative regulator of the hepatitis B virus (HBV) X protein.	AIP XAP2
O00180	KCNK1_HUMAN	Potassium channel subfamily K member 1 (Inward rectifying potassium channel protein TWIK-1) (Potassium channel K2P1) (Potassium channel KCNO1)	Homo sapiens (Human)	336	identical protein binding [GO:0042802]; inward rectifier potassium channel activity [GO:0005242]; ligand-gated channel activity [GO:0022834]; outward rectifier potassium channel activity [GO:0015271]; potassium channel activity [GO:0005267]; potassium ion leak channel activity [GO:0022841]; protein heterodimerization activity [GO:0046982]; sodium channel activity [GO:0005272]; voltage-gated monoatomic ion channel activity involved in regulation of postsynaptic membrane potential [GO:1905030]	FUNCTION: Ion channel that contributes to passive transmembrane potassium transport and to the regulation of the resting membrane potential in brain astrocytes, but also in kidney and in other tissues (PubMed:15820677, PubMed:21653227). Forms dimeric channels through which potassium ions pass in accordance with their electrochemical gradient. The channel is selective for K(+) ions at physiological potassium concentrations and at neutral pH, but becomes permeable to Na(+) at subphysiological K(+) levels and upon acidification of the extracellular medium (PubMed:21653227, PubMed:22431633). The homodimer has very low potassium channel activity, when expressed in heterologous systems, and can function as weakly inward rectifying potassium channel (PubMed:15820677, PubMed:21653227, PubMed:22431633, PubMed:23169818, PubMed:25001086, PubMed:8605869, PubMed:8978667). Channel activity is modulated by activation of serotonin receptors (By similarity). Heterodimeric channels containing KCNK1 and KCNK2 have much higher activity, and may represent the predominant form in astrocytes (By similarity). Heterodimeric channels containing KCNK1 and KCNK3 or KCNK9 have much higher activity (PubMed:23169818). Heterodimeric channels formed by KCNK1 and KCNK9 may contribute to halothane-sensitive currents (PubMed:23169818). Mediates outward rectifying potassium currents in dentate gyrus granule cells and contributes to the regulation of their resting membrane potential (By similarity). Contributes to the regulation of action potential firing in dentate gyrus granule cells and down-regulates their intrinsic excitability (By similarity). In astrocytes, the heterodimer formed by KCNK1 and KCNK2 is required for rapid glutamate release in response to activation of G-protein coupled receptors, such as F2R and CNR1 (By similarity). Required for normal ion and water transport in the kidney (By similarity). Contributes to the regulation of the resting membrane potential of pancreatic beta cells (By similarity). The low channel activity of homodimeric KCNK1 may be due to sumoylation (PubMed:15820677, PubMed:20498050, PubMed:23169818). The low channel activity may be due to rapid internalization from the cell membrane and retention in recycling endosomes (PubMed:19959478). Permeable to monovalent cations with ion selectivity for K(+) > Rb(+) >> NH4(+) >> Cs(+) = Na(+) = Li(+). {ECO:0000250|UniProtKB:O08581, ECO:0000250|UniProtKB:Q9Z2T2, ECO:0000269|PubMed:15820677, ECO:0000269|PubMed:17693262, ECO:0000269|PubMed:19959478, ECO:0000269|PubMed:20498050, ECO:0000269|PubMed:21653227, ECO:0000269|PubMed:22282804, ECO:0000269|PubMed:22431633, ECO:0000269|PubMed:23169818, ECO:0000269|PubMed:25001086, ECO:0000269|PubMed:8605869, ECO:0000269|PubMed:8978667}.	KCNK1 HOHO1 KCNO1 TWIK1
O00182	LEG9_HUMAN	Galectin-9 (Gal-9) (Ecalectin) (Tumor antigen HOM-HD-21)	Homo sapiens (Human)	355	carbohydrate binding [GO:0030246]; disaccharide binding [GO:0048030]; enzyme binding [GO:0019899]; galactose binding [GO:0005534]; galactoside binding [GO:0016936]	FUNCTION: Binds galactosides (PubMed:18005988). Has high affinity for the Forssman pentasaccharide (PubMed:18005988). Ligand for HAVCR2/TIM3 (PubMed:16286920). Binding to HAVCR2 induces T-helper type 1 lymphocyte (Th1) death (PubMed:16286920). Also stimulates bactericidal activity in infected macrophages by causing macrophage activation and IL1B secretion which restricts intracellular bacterial growth (By similarity). Ligand for P4HB; the interaction retains P4HB at the cell surface of Th2 T-helper cells, increasing disulfide reductase activity at the plasma membrane, altering the plasma membrane redox state and enhancing cell migration (PubMed:21670307). Ligand for CD44; the interaction enhances binding of SMAD3 to the FOXP3 promoter, leading to up-regulation of FOXP3 expression and increased induced regulatory T (iTreg) cell stability and suppressive function (By similarity). Promotes ability of mesenchymal stromal cells to suppress T-cell proliferation (PubMed:23817958). Expands regulatory T-cells and induces cytotoxic T-cell apoptosis following virus infection (PubMed:20209097). Activates ERK1/2 phosphorylation inducing cytokine (IL-6, IL-8, IL-12) and chemokine (CCL2) production in mast and dendritic cells (PubMed:16116184, PubMed:24465902). Inhibits degranulation and induces apoptosis of mast cells (PubMed:24465902). Induces maturation and migration of dendritic cells (PubMed:16116184, PubMed:25754930). Inhibits natural killer (NK) cell function (PubMed:23408620). Can transform NK cell phenotype from peripheral to decidual during pregnancy (PubMed:25578313). Astrocyte derived galectin-9 enhances microglial TNF production (By similarity). May play a role in thymocyte-epithelial interactions relevant to the biology of the thymus. May provide the molecular basis for urate flux across cell membranes, allowing urate that is formed during purine metabolism to efflux from cells and serving as an electrogenic transporter that plays an important role in renal and gastrointestinal urate excretion (By similarity). Highly selective to the anion urate (By similarity). {ECO:0000250|UniProtKB:O08573, ECO:0000250|UniProtKB:P97840, ECO:0000269|PubMed:16116184, ECO:0000269|PubMed:16286920, ECO:0000269|PubMed:18005988, ECO:0000269|PubMed:18977853, ECO:0000269|PubMed:20209097, ECO:0000269|PubMed:21670307, ECO:0000269|PubMed:23408620, ECO:0000269|PubMed:23817958, ECO:0000269|PubMed:24465902, ECO:0000269|PubMed:25578313, ECO:0000269|PubMed:25754930}.; FUNCTION: [Isoform 2]: Acts as an eosinophil chemoattractant (PubMed:9642261). It also inhibits angiogenesis (PubMed:24333696). Suppresses IFNG production by natural killer cells (By similarity). {ECO:0000250|UniProtKB:O08573, ECO:0000269|PubMed:24333696, ECO:0000269|PubMed:9642261}.	LGALS9
O00194	RB27B_HUMAN	Ras-related protein Rab-27B (EC 3.6.5.2) (C25KG)	Homo sapiens (Human)	218	G protein activity [GO:0003925]; GDP binding [GO:0019003]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; myosin V binding [GO:0031489]; protein domain specific binding [GO:0019904]	FUNCTION: Small GTPase which cycles between active GTP-bound and inactive GDP-bound states. In its active state, binds to a variety of effector proteins to regulate homeostasis of late endocytic pathway, including endosomal positioning, maturation and secretion (PubMed:30771381). Plays a role in NTRK2/TRKB axonal anterograde transport by facilitating the association of NTRK2/TRKB with KLC1 (PubMed:21775604). May be involved in targeting uroplakins to urothelial apical membranes (By similarity). {ECO:0000250|UniProtKB:Q8HZJ5, ECO:0000269|PubMed:21775604, ECO:0000269|PubMed:30771381}.	RAB27B
